Year,Area harvested,Yield,Production
1961,260000.0,3269.0,85000.0
1962,277000.0,3971.0,110000.0
1963,292000.0,3938.0,115000.0
1964,308000.0,4515.0,139069.0
1965,327000.0,3724.0,121772.0
1966,342800.0,4366.0,149662.0
1967,358000.0,4096.0,146640.0
1968,371100.0,3893.0,144476.0
1969,386800.0,4672.0,180706.0
1970,404300.0,4431.0,179156.0
1971,422800.0,5341.0,225814.0
1972,440500.0,4210.0,185445.0
1973,497000.0,4196.0,208522.0
1974,471000.0,5128.0,241511.0
1975,498000.0,4641.0,231136.0
1976,526000.0,4417.0,232330.0
1977,698000.0,4350.0,303621.0
1978,740000.0,4302.0,318381.0
1979,784700.0,5069.0,397759.0
1980,836700.0,4987.0,417222.0
1981,901300.0,5156.0,464751.0
1982,953000.0,3782.0,360445.0
1983,952600.0,4315.0,411081.0
1984,1028700.0,5493.0,565042.0
1985,1099800.0,5047.0,555115.0
1986,1173700.0,5203.0,610680.0
1987,1233700.0,5382.0,664031.0
1988,1566500.0,5312.0,832177.0
1989,1373300.0,5684.0,780521.0
1990,1566500.0,5155.0,807501.0
1991,1412000.0,5416.0,764708.0
1992,1450000.0,5607.0,813009.0
1993,1425953.0,5637.0,803799.0
1994,1500000.0,5391.0,808662.0
1995,1900000.0,5895.0,1120000.0
1996,2052878.0,6017.0,1235300.0
1997,1823035.0,6139.0,1119110.0
1998,1800000.0,6673.0,1201119.0
1999,1900000.0,6121.0,1163025.0
2000,2000000.0,7006.0,1401101.0
2001,1777550.0,6821.0,1212428.0
2002,1880000.0,6727.0,1264708.0
2003,2000000.0,6758.0,1351546.0
2004,2050000.0,6864.0,1407213.0
2005,2193548.0,5864.0,1286330.0
2006,2281290.0,6176.0,1408854.0
2007,2372542.0,5184.0,1229908.0
2008,2300000.0,6011.0,1382441.0
2009,2176162.0,5621.0,1223153.0
2010,2278786.0,5711.0,1301347.0
2011,2685121.0,5628.0,1511255.0
2012,2746080.0,5411.0,1485882.0
2013,2731411.0,5305.0,1448992.0
2014,3084498.0,5310.0,1637778.0
2015,3458163.0,5194.0,1796000.0
2016,3168749.0,5157.0,1634000.0
2017,4035466.0,5040.0,2034000.0
2018,4359104.0,4848.0,2113189.0
2019,4733656.0,4722.0,2235043.0
2020,4774875.0,4607.0,2200000.0
